datetime,predict
2023-08-01 00:00:00,376.0934515353089
2023-08-01 01:00:00,339.2759893277938
2023-08-01 02:00:00,319.07095425039677
2023-08-01 03:00:00,306.5315040672033
2023-08-01 04:00:00,299.88324645834257
2023-08-01 05:00:00,290.43592341606234
2023-08-01 06:00:00,298.46266074978206
2023-08-01 07:00:00,330.1362317142746
2023-08-01 08:00:00,369.937309187413
2023-08-01 09:00:00,420.72862069953146
2023-08-01 10:00:00,449.44362178444135
2023-08-01 11:00:00,464.564174828627
2023-08-01 12:00:00,465.38271557152524
2023-08-01 13:00:00,462.29447813622335
2023-08-01 14:00:00,462.7404461335865
2023-08-01 15:00:00,462.02096655252814
2023-08-01 16:00:00,464.7408231732976
2023-08-01 17:00:00,457.97983068547285
2023-08-01 18:00:00,449.99997436623295
2023-08-01 19:00:00,446.0406174458751
2023-08-01 20:00:00,440.12856785202996
2023-08-01 21:00:00,439.4371810794049
2023-08-01 22:00:00,443.8643865176635
2023-08-01 23:00:00,416.3289022921864
2023-08-02 00:00:00,359.28367947635985
2023-08-02 01:00:00,324.07244612637544
2023-08-02 02:00:00,305.1445566547794
2023-08-02 03:00:00,292.7000313997694
2023-08-02 04:00:00,288.3167350180239
2023-08-02 05:00:00,280.77912510696433
2023-08-02 06:00:00,284.00871746391715
2023-08-02 07:00:00,318.404130223156
2023-08-02 08:00:00,358.94555474170943
2023-08-02 09:00:00,411.6019736393582
2023-08-02 10:00:00,441.1201522169054
2023-08-02 11:00:00,456.98211362769877
2023-08-02 12:00:00,458.9338087340515
2023-08-02 13:00:00,452.5741262413101
2023-08-02 14:00:00,451.58164115850315
2023-08-02 15:00:00,448.3635996479134
2023-08-02 16:00:00,444.77548354238286
2023-08-02 17:00:00,441.3797224407177
2023-08-02 18:00:00,435.05880098498346
2023-08-02 19:00:00,431.82578949667635
2023-08-02 20:00:00,424.66791363628965
2023-08-02 21:00:00,428.4754577462639
2023-08-02 22:00:00,435.66548541510986
2023-08-02 23:00:00,413.2332062657397
2023-08-03 00:00:00,369.58683174802184
2023-08-03 01:00:00,330.71548656768687
2023-08-03 02:00:00,308.1937395894969
2023-08-03 03:00:00,297.7398112587658
2023-08-03 04:00:00,289.7747724345263
2023-08-03 05:00:00,282.30710027475686
2023-08-03 06:00:00,285.3538083359117
2023-08-03 07:00:00,318.9425592144524
2023-08-03 08:00:00,361.3517173739542
2023-08-03 09:00:00,417.75290802856375
2023-08-03 10:00:00,450.18003278554164
2023-08-03 11:00:00,465.6617469701457
2023-08-03 12:00:00,469.6148383837971
2023-08-03 13:00:00,466.2574547131138
2023-08-03 14:00:00,470.90826748206666
2023-08-03 15:00:00,468.37111918203783
2023-08-03 16:00:00,467.9613254655411
2023-08-03 17:00:00,462.86142870708954
2023-08-03 18:00:00,453.7000323648275
2023-08-03 19:00:00,446.97655870262395
2023-08-03 20:00:00,436.20154163812094
2023-08-03 21:00:00,435.6945034185637
2023-08-03 22:00:00,442.41927904279385
2023-08-03 23:00:00,417.0457985036
2023-08-04 00:00:00,374.07703296271404
2023-08-04 01:00:00,332.7150603773828
2023-08-04 02:00:00,309.3000057508089
2023-08-04 03:00:00,299.7039690247217
2023-08-04 04:00:00,294.0734662961395
2023-08-04 05:00:00,284.61244348967716
2023-08-04 06:00:00,290.20177039466023
2023-08-04 07:00:00,323.0183647392244
2023-08-04 08:00:00,367.976225301377
2023-08-04 09:00:00,424.41703637641353
2023-08-04 10:00:00,457.813057905724
2023-08-04 11:00:00,475.8295144805704
2023-08-04 12:00:00,479.32570143718624
2023-08-04 13:00:00,476.49854501982054
2023-08-04 14:00:00,479.38953227753586
2023-08-04 15:00:00,476.145466813663
2023-08-04 16:00:00,473.7703510689166
2023-08-04 17:00:00,469.10281814223583
2023-08-04 18:00:00,458.4022969963705
2023-08-04 19:00:00,451.67722354230114
2023-08-04 20:00:00,438.88922041581793
2023-08-04 21:00:00,443.92006057765985
2023-08-04 22:00:00,446.29168698105525
2023-08-04 23:00:00,425.02660209371453
2023-08-05 00:00:00,384.93471083357355
2023-08-05 01:00:00,342.38879574133364
2023-08-05 02:00:00,317.3395160970701
2023-08-05 03:00:00,306.4449224596614
2023-08-05 04:00:00,300.13229346749483
